,name,year,selling_price,km_driven,fuel,seller_type,transmission,owner,mileage,engine,max_power,torque,seats
2167,Maruti Zen LXI,2005,60000,90000,Petrol,Individual,Manual,Second Owner,17.3,993,60.0,78Nm@ 4500rpm,5
2168,Mahindra Xylo E8 ABS Airbag,2010,320000,40000,Diesel,Individual,Manual,Second Owner,14.0,2498,112.0,260 Nm at 1800-2200 rpm,7
2169,Mahindra Scorpio LX,2013,520000,110000,Diesel,Individual,Manual,First Owner,12.05,2179,120.0,290Nm@ 1800-2800rpm,9
2170,Tata New Safari DICOR 2.2 LX 4x2,2007,250000,80000,Diesel,Individual,Manual,Second Owner,11.57,2179,138.1,320Nm@ 1700-2700rpm,7
2171,Maruti Vitara Brezza ZDi,2017,725000,60000,Diesel,Individual,Manual,First Owner,24.3,1248,88.5,200Nm@ 1750rpm,5
2172,Mahindra Bolero 2011-2019 SLX,2015,585000,50000,Diesel,Individual,Manual,First Owner,15.96,2523,62.1,195Nm@ 1400-2200rpm,7
2173,Tata Tiago 1.2 Revotron XZ,2017,430000,25000,Petrol,Individual,Manual,First Owner,23.84,1199,84.0,114Nm@ 3500rpm,5
2174,Maruti Swift VDI,2011,235000,100000,Diesel,Individual,Manual,Second Owner,22.9,1248,74.0,190Nm@ 2000rpm,5
2175,Maruti Swift Dzire VDi,2012,350000,52000,Diesel,Individual,Manual,Third Owner,19.3,1248,73.9,190Nm@ 2000rpm,5
2176,Hyundai i10 Era 1.1,2010,131000,80000,Petrol,Individual,Manual,Third Owner,19.81,1086,68.05,99.04Nm@ 4500rpm,5
2177,Honda Amaze VX i-DTEC,2016,450000,85000,Diesel,Individual,Manual,First Owner,25.8,1498,98.6,200Nm@ 1750rpm,5
2178,Maruti Vitara Brezza ZDi Plus,2016,750000,83000,Diesel,Individual,Manual,First Owner,24.3,1248,88.5,200Nm@ 1750rpm,5
2179,Maruti Alto 800 LXI,2013,200000,50000,Petrol,Individual,Manual,First Owner,22.74,796,47.3,69Nm@ 3500rpm,5
2180,Maruti Wagon R LXI Minor,2009,125000,120000,Petrol,Individual,Manual,Fourth & Above Owner,18.9,1061,67.0,84Nm@ 3500rpm,5
2181,Mahindra Bolero 2011-2019 SLE,2014,500000,100000,Diesel,Individual,Manual,First Owner,15.96,2523,62.1,195Nm@ 1400-2200rpm,7
2182,Maruti Swift VDI,2012,380000,70000,Diesel,Individual,Manual,Third Owner,22.9,1248,74.0,190Nm@ 2000rpm,5
2183,Maruti Alto LXi,2008,128000,19000,Petrol,Individual,Manual,First Owner,19.7,796,46.3,62Nm@ 3000rpm,5
2184,Honda City 1.5 S MT,2009,250000,68600,Petrol,Individual,Manual,Third Owner,17.0,1497,118.0,146Nm at 4800 rpm,5
2185,Mahindra Bolero Power Plus SLX,2017,690000,60000,Diesel,Individual,Manual,First Owner,16.5,1493,70.0,195Nm@ 1400-2200rpm,7
2186,Mahindra Bolero 2011-2019 SLX,2014,650000,65000,Diesel,Individual,Manual,Second Owner,15.96,2523,62.1,195Nm@ 1400-2200rpm,7
2187,Honda City E,2012,560000,40000,Petrol,Individual,Manual,Second Owner,16.8,1497,116.3,146Nm@ 4800rpm,5
2189,Maruti Celerio VXI,2016,400000,25000,Petrol,Individual,Manual,First Owner,23.1,998,67.04,90Nm@ 3500rpm,5
2190,Maruti Alto K10 LXI,2012,200000,29500,Petrol,Individual,Manual,First Owner,20.92,998,67.1,90Nm@ 3500rpm,5
2191,Hyundai Verna VTVT 1.6 SX,2018,950000,13887,Petrol,Individual,Manual,First Owner,17.0,1591,121.3,151Nm@ 4850rpm,5
2192,Maruti Alto 800 VXI,2016,300000,50000,Petrol,Individual,Manual,Second Owner,22.74,796,47.3,69Nm@ 3500rpm,5
2193,Renault KWID RXL,2016,315000,30000,Petrol,Individual,Manual,Second Owner,25.17,799,53.3,72Nm@ 4386rpm,5
2194,Maruti Alto 800 LXI,2012,220000,100000,Petrol,Individual,Manual,First Owner,22.74,796,47.3,69Nm@ 3500rpm,5
2195,Chevrolet Aveo 1.4 LS,2011,130000,60000,Petrol,Individual,Manual,Second Owner,14.49,1399,92.7,127Nm@ 3500rpm,5
2196,Hyundai i20 Sportz Option 1.4 CRDi,2016,595000,60000,Diesel,Individual,Manual,Second Owner,22.54,1396,88.73,219.7Nm@ 1500-2750rpm,5
2197,Tata Indica Vista TDI LS,2011,110000,120000,Diesel,Individual,Manual,First Owner,19.4,1405,70.0,135.4Nm@ 2500rpm,5
2198,Ford EcoSport 1.5 Petrol Ambiente BSIV,2017,680000,13500,Petrol,Individual,Manual,First Owner,17.0,1497,121.36,150Nm@ 4500rpm,5
2199,Fiat Grande Punto Active (Diesel),2013,280000,52000,Diesel,Individual,Manual,First Owner,20.3,1248,75.0,197Nm@ 1750rpm,5
2200,Maruti Baleno Delta 1.2,2017,530000,30000,Petrol,Individual,Manual,Second Owner,21.4,1197,83.1,115Nm@ 4000rpm,5
2201,Hyundai Xcent 1.2 Kappa SX Option,2017,610000,14000,Petrol,Individual,Manual,First Owner,19.1,1197,82.0,114Nm@ 4000rpm,5
2202,Tata Aria Pure LX 4x2,2014,500000,90000,Diesel,Individual,Manual,Second Owner,15.05,2179,147.9,320Nm@ 1500-3000rpm,7
2203,Tata Tigor 1.05 Revotorq XM,2018,500000,50000,Diesel,Individual,Manual,First Owner,24.7,1047,69.0,140Nm@ 1800-3000rpm,5
2204,Mahindra Xylo D2,2010,250000,120000,Diesel,Individual,Manual,Second Owner,13.0,2489,95.0,220Nm at 1400-2600 rpm,8
2205,Hyundai EON Magna Plus,2018,325000,10000,Petrol,Individual,Manual,First Owner,21.1,814,55.2,74.5Nm@ 4000rpm,5
2206,Maruti Baleno Delta 1.2,2018,550000,10000,Petrol,Individual,Manual,First Owner,21.4,1197,83.1,115Nm@ 4000rpm,5
2207,Maruti Ciaz 1.4 Alpha,2018,720000,25000,Petrol,Individual,Manual,First Owner,20.73,1373,91.1,130Nm@ 4000rpm,5
2208,Hyundai Verna VTVT 1.6 SX,2017,950000,20000,Petrol,Individual,Manual,First Owner,17.0,1591,121.3,151Nm@ 4850rpm,5
2209,Maruti Swift VDI,2013,350000,60000,Diesel,Individual,Manual,First Owner,22.9,1248,74.0,190Nm@ 2000rpm,5
2210,Hyundai Grand i10 1.2 Kappa Sportz Option,2018,500000,40000,Petrol,Individual,Manual,First Owner,18.9,1197,81.86,113.75nm@ 4000rpm,5
2211,Maruti Swift Dzire VDi,2012,380000,60000,Diesel,Individual,Manual,First Owner,19.3,1248,73.9,190Nm@ 2000rpm,5
2212,Hyundai Xcent 1.2 Kappa AT SX Option,2015,380000,50000,Petrol,Individual,Automatic,First Owner,16.9,1197,82.0,114Nm@ 4000rpm,5
2213,Hyundai Verna VTVT 1.6 SX,2017,900000,20000,Petrol,Individual,Manual,First Owner,17.0,1591,121.3,151Nm@ 4850rpm,5
2214,Maruti Alto 800 VXI,2017,295000,35000,Petrol,Individual,Manual,First Owner,24.7,796,47.3,69Nm@ 3500rpm,5
2215,Maruti Ciaz VDi Plus SHVS,2016,640000,40000,Diesel,Individual,Manual,First Owner,28.09,1248,88.5,200Nm@ 1750rpm,5
2216,Tata Nexon 1.5 Revotorq XZ Plus,2018,790000,60000,Diesel,Individual,Manual,First Owner,21.5,1497,108.5,260Nm@ 1500-2750rpm,5
2217,Hyundai Verna 1.6 VTVT S Option,2015,625000,20000,Petrol,Individual,Manual,First Owner,17.01,1591,121.4,154.9Nm@ 4200rpm,5
2218,Ford EcoSport 1.5 Petrol Trend BSIV,2017,604000,30000,Petrol,Individual,Manual,Second Owner,17.0,1497,121.36,150Nm@ 4500rpm,5
2219,Maruti Alto K10 VXI,2015,315000,29000,Petrol,Individual,Manual,First Owner,23.95,998,67.05,90Nm@ 3500rpm,5
2220,Mahindra XUV300 W6 Diesel BSIV,2019,950000,17000,Diesel,Individual,Manual,First Owner,20.0,1497,115.0,300Nm@ 1500-2500rpm,5
2221,Maruti Wagon R VXI Plus Optional,2017,400000,50000,Petrol,Individual,Manual,First Owner,20.51,998,67.04,90Nm@ 3500rpm,5
2222,Hyundai i20 1.4 Magna AT,2018,700000,42000,Petrol,Individual,Automatic,First Owner,18.6,1368,98.63,132.3Nm@ 4000rpm,5
2223,Toyota Innova 2.5 G (Diesel) 8 Seater BS IV,2011,700000,120000,Diesel,Individual,Manual,Second Owner,12.8,2494,102.0,20.4@ 1400-3400(kgm@ rpm),8
2224,Mahindra Verito 1.5 D4 BSIV,2012,260000,110000,Diesel,Individual,Manual,First Owner,21.03,1461,65.0,160Nm@ 2000rpm,5
2225,Tata Indigo CR4,2012,200000,90000,Diesel,Individual,Manual,First Owner,23.57,1396,70.0,140Nm@ 1800-3000rpm,5
2226,Maruti Dzire VXI,2020,580000,70000,Petrol,Individual,Manual,First Owner,23.26,1197,88.5,113nm@ 4400rpm,5
2227,Volkswagen Vento IPL II Diesel Trendline,2011,330000,66000,Diesel,Individual,Manual,Second Owner,20.5,1598,105.0,250Nm@ 1500-2500rpm,5
2228,Hyundai Verna Transform CRDi VGT SX ABS,2011,400000,70000,Diesel,Individual,Manual,Third Owner,16.2,1493,110.0,24 KGM at 1900-2750 RPM,5
2229,Hyundai Creta 1.6 SX Automatic,2018,1350000,5000,Petrol,Individual,Automatic,First Owner,14.8,1591,121.3,151NM@ 4850rpm,5
2230,Mahindra Verito 1.5 D4 BSIV,2014,250000,50000,Diesel,Individual,Manual,Second Owner,21.03,1461,65.0,160Nm@ 2000rpm,5
2231,Skoda Rapid 1.6 MPI Ambition BSIV,2019,725000,25000,Petrol,Individual,Manual,First Owner,15.41,1598,103.2,153Nm@ 3750-3800rpm,5
2232,Maruti Swift Dzire Tour LDI,2013,300000,70000,Diesel,Individual,Manual,First Owner,23.4,1248,74.0,190Nm@ 2000rpm,5
2233,Maruti 800 AC,2006,120000,40000,Petrol,Individual,Manual,Second Owner,16.1,796,37.0,59Nm@ 2500rpm,4
2234,Mahindra XUV500 W10 2WD,2016,1175000,110000,Diesel,Individual,Manual,First Owner,16.0,2179,140.0,330Nm@ 1600-2800rpm,7
2235,Tata New Safari DICOR 2.2 VX 4x4,2009,380000,150000,Diesel,Individual,Manual,First Owner,13.93,2179,138.0,320Nm@ 1700-2700rpm,7
2236,Tata Indica Vista TDI LX,2014,400000,45000,Diesel,Individual,Manual,First Owner,19.1,1405,70.0,135.4Nm@ 2500rpm,5
2237,Tata Indigo LX,2005,140000,90000,Diesel,Individual,Manual,Third Owner,16.1,1405,70.0,"13.5@ 2,500(kgm@ rpm)",5
2238,Tata New Safari DICOR 2.2 EX 4x2,2011,229999,140000,Diesel,Individual,Manual,Second Owner,11.57,2179,138.1,320Nm@ 1700-2700rpm,7
2239,Ford Ikon 1.3 CLXi,2003,110000,83000,Petrol,Individual,Manual,Second Owner,13.8,1299,70.0,"10.7@ 2,500(kgm@ rpm)",5
2240,Volkswagen Jetta 2.0L TDI Highline AT,2011,550000,106000,Diesel,Individual,Automatic,Second Owner,16.96,1968,138.1,320Nm@ 1750-2500rpm,5
2241,Chevrolet Aveo U-VA 1.2 LS,2008,150000,60000,Petrol,Individual,Manual,Fourth & Above Owner,15.26,1150,74.9,110Nm@ 4400rpm,5
2242,Maruti Omni E MPI STD BS IV,2017,265000,40000,Petrol,Individual,Manual,Second Owner,16.8,796,34.2,59Nm@ 2500rpm,8
2243,Hyundai i20 1.2 Asta,2011,300000,138000,Petrol,Individual,Manual,Third Owner,17.0,1197,80.0,"11.4 kgm at 4,000 rpm",5
2244,Maruti Alto 800 LXI,2015,280000,80000,Petrol,Individual,Manual,First Owner,22.74,796,47.3,69Nm@ 3500rpm,5
2245,Hyundai Getz GLS,2005,130000,50000,Petrol,Individual,Manual,Second Owner,15.3,1341,83.0,115Nm@ 3200rpm,5
2246,Chevrolet Sail 1.2 LS ABS,2015,350000,50000,Petrol,Individual,Manual,First Owner,18.2,1199,82.4,108.5Nm@ 5000rpm,5
2247,Maruti Ritz VXi,2009,200000,120000,Petrol,Individual,Manual,First Owner,18.5,1197,85.8,114Nm@ 4000rpm,5
2248,Maruti Swift VXI,2018,550000,24400,Petrol,Individual,Manual,First Owner,22.0,1197,81.8,113Nm@ 4200rpm,5
2249,Mahindra Bolero 2011-2019 SLX,2013,400000,60000,Diesel,Individual,Manual,Second Owner,15.96,2523,62.1,195Nm@ 1400-2200rpm,7
2250,Maruti Ritz VXi (ABS) BS IV,2010,170000,120000,Petrol,Individual,Manual,Second Owner,18.5,1197,85.8,114Nm@ 4000rpm,5
2251,Hyundai Verna 1.4 CRDi,2015,600000,60000,Diesel,Individual,Manual,Second Owner,24.8,1396,88.7,219.7Nm@ 1750-2750rpm,5
2252,Maruti Alto LXi,2011,130000,100000,Petrol,Individual,Manual,Second Owner,19.7,796,46.3,62Nm@ 3000rpm,5
2254,Maruti 800 AC,2011,100000,120000,Petrol,Individual,Manual,Second Owner,16.1,796,37.0,59Nm@ 2500rpm,4
2255,Renault KWID RXT,2016,310000,27500,Petrol,Individual,Manual,First Owner,25.17,799,53.3,72Nm@ 4386rpm,5
2256,Maruti 800 AC,2007,35000,10000,Petrol,Individual,Manual,First Owner,16.1,796,37.0,59Nm@ 2500rpm,4
2257,Hyundai i20 Magna,2010,200000,120000,Petrol,Individual,Manual,Third Owner,18.5,1197,80.0,"11.4 kgm at 4,000 rpm",5
2259,Hyundai i20 Sportz 1.4 CRDi,2015,650000,80000,Diesel,Individual,Manual,First Owner,22.54,1396,88.73,219.7Nm@ 1500-2750rpm,5
2260,Tata Indigo eCS GLS,2013,210000,120000,Petrol,Individual,Manual,First Owner,15.64,1193,64.1,100Nm@ 2700rpm,5
2261,Hyundai Xcent 1.1 CRDi S Option,2015,509999,90000,Diesel,Individual,Manual,First Owner,24.4,1120,71.01,180.4Nm@ 1750-2500rpm,5
2262,Ford Figo Diesel Celebration Edition,2013,229999,70000,Diesel,Individual,Manual,First Owner,20.0,1399,68.1,160Nm@ 2000rpm,5
2263,Renault Duster 110PS Diesel RxZ,2014,409999,188000,Diesel,Individual,Manual,Second Owner,19.01,1461,108.45,248Nm@ 2250rpm,5
2264,Chevrolet Spark 1.0 LT,2011,130000,67840,Petrol,Individual,Manual,First Owner,18.0,995,62.0,90.3Nm@ 4200rpm,5
2265,Tata Nano CX,2013,95000,30000,Petrol,Individual,Manual,First Owner,25.4,624,37.48,51Nm@ 4000+/-500rpm,4
2266,Maruti Alto 800 LXI,2016,225000,35000,Petrol,Individual,Manual,Second Owner,22.74,796,47.3,69Nm@ 3500rpm,5
2268,Maruti Vitara Brezza VDi Option,2017,775000,100000,Diesel,Individual,Manual,First Owner,24.3,1248,88.5,200Nm@ 1750rpm,5
2269,Maruti Wagon R VXI BS IV,2017,420000,30000,Petrol,Individual,Manual,First Owner,20.51,998,67.04,90Nm@ 3500rpm,5
2270,Hyundai Grand i10 Sportz Celebration Edition,2016,480000,70000,Petrol,Individual,Manual,First Owner,18.9,1197,82.0,114Nm@ 4000rpm,5
2272,Mahindra Bolero SLE,2010,260000,380000,Diesel,Individual,Manual,Second Owner,13.6,2523,63.0,180 Nm at 1440-1500rpm,7
2274,Volkswagen Polo 2015-2019 1.2 MPI Highline Plus,2018,600000,15000,Petrol,Individual,Manual,First Owner,16.2,1199,74.0,110Nm@ 3000-4300rpm,5
2275,Ford Ikon 1.4 TDCi DuraTorq,2009,140000,140000,Diesel,Individual,Manual,Second Owner,13.8,1399,68.0,160Nm@ 2000rpm,5
2276,Maruti Omni 8 Seater BSII,2010,130000,120000,Petrol,Individual,Manual,Third Owner,19.7,796,35.0,6.1kgm@ 3000rpm,8
2277,Maruti Swift VDI BSIV,2007,195000,112880,Diesel,Dealer,Manual,First Owner,25.2,1248,74.0,190Nm@ 2000rpm,5
2278,Tata Indica Vista TDI LS,2013,210000,135000,Diesel,Dealer,Manual,Second Owner,19.4,1405,70.0,135.4Nm@ 2500rpm,5
2279,Maruti Wagon R LX,2006,130000,80000,Petrol,Individual,Manual,Third Owner,18.9,998,67.1,90Nm@ 3500rpm,5
2280,Chevrolet Beat LT,2012,141000,128000,Petrol,Individual,Manual,Third Owner,18.6,1199,79.4,108Nm@ 4400rpm,5
2281,Mahindra Bolero SLE BSIII,2011,280000,120000,Diesel,Individual,Manual,First Owner,13.6,2523,63.0,180 Nm at 1440-1500rpm,7
2282,Maruti SX4 ZXI AT Leather,2010,350000,30000,Petrol,Individual,Automatic,First Owner,12.6,1586,103.2,145Nm@ 4100rpm,5
2283,Tata Nexon 1.2 Revotron XM,2018,575000,70000,Petrol,Individual,Manual,First Owner,17.0,1198,108.5,170Nm@ 1750-4000rpm,5
2284,Hyundai i20 Sportz Option 1.2,2015,550000,41000,Petrol,Individual,Manual,First Owner,18.6,1197,81.83,114.7Nm@ 4000rpm,5
2286,Maruti Alto LX,2006,120000,30000,Petrol,Individual,Manual,Second Owner,19.7,796,46.3,62Nm@ 3000rpm,5
2287,Maruti Alto K10 VXI,2015,320000,30000,Petrol,Individual,Manual,First Owner,23.95,998,67.05,90Nm@ 3500rpm,5
2288,Hyundai Accent Executive,2011,250000,35000,Petrol,Individual,Manual,First Owner,16.36,1495,93.7,124.6Nm@ 3500rpm,5
2289,Maruti SX4 Zxi BSIII,2010,300000,22000,Petrol,Individual,Manual,First Owner,15.0,1586,104.68,"145@ 4,100(kgm@ rpm)",5
2290,Maruti Wagon R VXI,2006,250000,70000,Petrol,Individual,Manual,First Owner,18.9,998,67.1,90Nm@ 3500rpm,5
2292,Mahindra Bolero 2011-2019 mHAWK D70 ZLX,2018,750000,70000,Diesel,Individual,Manual,First Owner,16.5,1493,70.0,195Nm@ 1400-2200rpm,7
2293,Mahindra Scorpio 2.6 CRDe,2005,151000,200000,Diesel,Individual,Manual,Second Owner,10.5,2179,120.0,290Nm@ 1800-2800rpm,8
2294,Tata Safari DICOR 2.2 EX 4x2,2011,300000,120000,Diesel,Individual,Manual,First Owner,13.93,2179,138.03,320Nm@ 1700-2700rpm,7
2295,Maruti Ignis 1.2 Zeta BSIV,2019,577000,3000,Petrol,Individual,Manual,First Owner,20.89,1197,81.8,113Nm@ 4200rpm,5
2296,Maruti Alto K10 2010-2014 VXI,2012,229999,50000,Petrol,Individual,Manual,First Owner,20.92,998,67.1,90Nm@ 3500rpm,5
2297,Mahindra Bolero 2011-2019 ZLX,2013,500000,50000,Diesel,Individual,Manual,First Owner,15.96,2523,62.1,195Nm@ 1400-2200rpm,7
2298,Honda Jazz VX CVT,2019,840000,1500,Petrol,Individual,Automatic,First Owner,18.2,1199,88.7,110Nm@ 4800rpm,5
2299,Volkswagen Vento 1.5 TDI Highline,2017,900000,74000,Diesel,Individual,Manual,First Owner,22.27,1498,108.6,250Nm@ 1500-3000rpm,5
2300,Honda Jazz 1.2 V i VTEC,2017,650000,25000,Petrol,Individual,Manual,First Owner,18.7,1199,88.7,110Nm@ 4800rpm,5
2301,Honda Jazz 1.5 VX i DTEC,2016,650000,61915,Diesel,Individual,Manual,First Owner,27.3,1498,98.6,200Nm@ 1750rpm,5
2302,Hyundai EON Era Plus,2016,250000,110000,Petrol,Individual,Manual,First Owner,21.1,814,55.2,74.5Nm@ 4000rpm,5
2303,Volkswagen Polo 1.5 TDI Comfortline,2016,550000,70000,Diesel,Individual,Manual,First Owner,20.14,1498,88.0,230Nm@ 1500-2500rpm,5
2304,Maruti Swift Ldi BSIII,2007,250000,150000,Diesel,Individual,Manual,Fourth & Above Owner,17.8,1248,75.0,190Nm@ 2000rpm,5
2305,Mahindra Quanto C4,2013,350000,110000,Diesel,Individual,Manual,Second Owner,17.21,1493,100.0,240Nm@ 1600-2800rpm,7
2306,Chevrolet Beat Diesel LT,2014,185000,90000,Diesel,Individual,Manual,Second Owner,25.44,936,56.3,142.5Nm@ 1750rpm,5
2307,Ford Figo Petrol Titanium,2010,229999,120000,Petrol,Individual,Manual,Third Owner,15.6,1196,70.0,102Nm@ 4000rpm,5
2308,Toyota Innova 2.5 G (Diesel) 8 Seater,2016,1000000,65000,Diesel,Individual,Manual,First Owner,12.99,2494,100.6,200Nm@ 1200-3600rpm,8
2309,Maruti Wagon R VXI 1.2,2019,490000,10000,Petrol,Individual,Manual,First Owner,20.52,1197,81.8,113Nm@ 4200rpm,5
2310,Hyundai i10 Sportz,2009,150000,80000,Petrol,Individual,Manual,Second Owner,20.36,1197,78.9,111.8Nm@ 4000rpm,5
2311,Maruti Ertiga VDI,2013,600000,184000,Diesel,Individual,Manual,First Owner,20.77,1248,88.76,200Nm@ 1750rpm,7
2312,Maruti Wagon R CNG LXI,2013,270000,80000,CNG,Individual,Manual,Second Owner,32.52,998,58.33,78Nm@ 3500rpm,5
2313,Maruti Zen LXi - BS III,2005,60000,70000,Petrol,Individual,Manual,Second Owner,17.3,993,60.0,78Nm@ 4500rpm,5
2314,Maruti SX4 Zxi with Leather BSIII,2008,150000,89000,Petrol,Individual,Manual,Second Owner,15.6,1586,104.68,"145@ 4,100(kgm@ rpm)",5
2316,Maruti Swift VDI,2013,525000,69000,Diesel,Individual,Manual,Second Owner,22.9,1248,74.0,190Nm@ 2000rpm,5
2318,Tata Indica V2 eLX,2012,83000,90000,Diesel,Individual,Manual,Second Owner,25.0,1396,69.0,140Nm@ 1800-3000rpm,5
2319,Hyundai EON Era Plus,2017,300000,8000,Petrol,Individual,Manual,First Owner,21.1,814,55.2,74.5Nm@ 4000rpm,5
2320,Hyundai i20 1.2 Sportz,2012,350000,35000,Petrol,Individual,Manual,First Owner,17.0,1197,80.0,"11.4 kgm at 4,000 rpm",5
2321,Hyundai i20 1.2 Sportz,2011,300000,45000,Petrol,Individual,Manual,First Owner,17.0,1197,80.0,"11.4 kgm at 4,000 rpm",5
2322,Fiat Linea 1.3 Active,2011,250000,30000,Diesel,Individual,Manual,First Owner,20.4,1248,91.2,209Nm@ 2000rpm,5
2323,Maruti 800 Std,2006,114999,59000,Petrol,Individual,Manual,Second Owner,16.1,796,37.0,59Nm@ 2500rpm,4
2324,Maruti Ertiga VXI Petrol,2018,700000,6200,Petrol,Individual,Manual,First Owner,19.34,1462,103.0,138Nm@ 4400rpm,7
2325,Maruti Celerio X ZXI,2020,250000,120000,Petrol,Individual,Manual,Second Owner,21.63,998,67.0,90Nm@ 3500rpm,5
2326,Maruti Wagon R LXI BS IV,2016,350000,70000,Petrol,Individual,Manual,First Owner,20.51,998,67.04,90Nm@ 3500rpm,5
2327,Maruti Omni 5 Str STD,1998,80000,70000,Petrol,Individual,Manual,First Owner,14.0,796,35.0,6.1kgm@ 3000rpm,5
2328,Mahindra Scorpio S2 7 Seater,2017,850000,110000,Diesel,Individual,Manual,First Owner,15.4,2523,75.0,200Nm@ 1400-2200rpm,7
2330,Chevrolet Spark 1.0 LS,2007,90000,93000,Petrol,Individual,Manual,Third Owner,18.0,995,62.0,90.3Nm@ 4200rpm,5
2331,Chevrolet Tavera Neo 3 10 Seats BSIII,2014,600000,110000,Diesel,Individual,Manual,First Owner,13.58,2499,72.4,171Nm@ 1800rpm,10
2332,Maruti Alto LX,2007,135000,57000,Petrol,Individual,Manual,First Owner,19.7,796,46.3,62Nm@ 3000rpm,5
2333,Hyundai Accent GLE,2005,150000,120000,Petrol,Individual,Manual,First Owner,13.2,1495,94.0,"12.5@ 3,500(kgm@ rpm)",5
2337,Maruti Swift Dzire VXi,2009,240000,120000,Petrol,Individual,Manual,First Owner,17.5,1298,85.8,114Nm@ 4000rpm,5
2338,Hyundai Creta 1.4 E Plus,2018,946000,60000,Diesel,Individual,Manual,First Owner,22.1,1396,88.7,219.7Nm@ 1500-2750rpm,5
2339,Tata Indigo eCS LX BSIV,2011,215000,70000,Diesel,Individual,Manual,First Owner,23.03,1396,69.0,140Nm@ 1800-3000rpm,5
2340,Maruti Zen LX,1999,50000,60000,Petrol,Individual,Manual,Fourth & Above Owner,17.3,993,60.0,78Nm@ 4500rpm,5
2341,Honda Amaze S i-Dtech,2013,310000,100000,Diesel,Individual,Manual,First Owner,25.8,1498,98.6,200Nm@ 1750rpm,5
2342,Hyundai i10 Magna,2008,220000,35000,Petrol,Individual,Manual,First Owner,20.36,1197,78.9,111.7Nm@ 4000rpm,5
2343,Maruti Swift Vdi BSIII,2008,195000,90000,Diesel,Individual,Manual,Third Owner,17.8,1248,75.0,190Nm@ 2000rpm,5
2344,Hyundai i20 Active 1.2 S,2015,650000,50000,Petrol,Individual,Manual,First Owner,17.19,1197,81.86,114.73Nm@ 4000rpm,5
2345,Hyundai i20 1.2 Magna,2011,350000,98000,Petrol,Individual,Manual,First Owner,18.5,1197,80.0,"11.4 kgm at 4,000 rpm",5
2346,Hyundai i20 Asta 1.2,2013,360000,30000,Petrol,Individual,Manual,First Owner,18.5,1197,82.85,113.7Nm@ 4000rpm,5
2347,Hyundai Elantra SX,2013,550000,50000,Petrol,Individual,Manual,Second Owner,16.3,1797,147.5,177.5Nm@ 4700rpm,5
2348,Hyundai Grand i10 Sportz,2016,490000,26000,Petrol,Individual,Manual,First Owner,18.9,1197,82.0,114Nm@ 4000rpm,5
2349,Maruti Alto LXi,2011,195000,46000,Petrol,Individual,Manual,Second Owner,19.7,796,46.3,62Nm@ 3000rpm,5
2350,Maruti Alto LX,2010,125000,80000,Petrol,Individual,Manual,Fourth & Above Owner,19.7,796,46.3,62Nm@ 3000rpm,5
2351,Tata Tiago 1.2 Revotron XZ,2019,459999,10000,Petrol,Individual,Manual,First Owner,23.84,1199,84.0,114Nm@ 3500rpm,5
2352,Maruti Alto 800 LXI,2015,275000,16700,Petrol,Individual,Manual,First Owner,22.74,796,47.3,69Nm@ 3500rpm,5
2353,Maruti Swift Dzire VDI,2018,680000,70000,Diesel,Individual,Manual,First Owner,28.4,1248,74.02,190Nm@ 2000rpm,5
2354,Maruti Swift Dzire ZXI,2015,600000,7967,Petrol,Individual,Manual,First Owner,20.85,1197,83.14,115Nm@ 4000rpm,5
2355,Maruti Swift ZXI Plus,2018,720000,20000,Petrol,Individual,Manual,First Owner,22.0,1197,81.8,113Nm@ 4200rpm,5
2357,Renault KWID RXT Optional,2016,356000,9656,Petrol,Individual,Manual,First Owner,25.17,799,53.3,72Nm@ 4386rpm,5
2358,Hyundai i10 Era,2011,225000,50000,Petrol,Individual,Manual,First Owner,19.81,1086,68.05,99.04Nm@ 4500rpm,5
2359,Ford Freestyle Titanium Diesel BSIV,2019,725000,17000,Diesel,Individual,Manual,First Owner,24.4,1498,98.63,215Nm@ 1750-3000rpm,5
2360,Chevrolet Spark 1.0 LT,2010,130000,50000,Petrol,Individual,Manual,First Owner,18.0,995,62.0,90.3Nm@ 4200rpm,5
2361,Renault KWID RXT,2015,300000,10000,Petrol,Individual,Manual,First Owner,25.17,799,53.3,72Nm@ 4386rpm,5
2362,Hyundai i20 Sportz 1.2,2013,400000,43000,Petrol,Individual,Manual,Second Owner,18.5,1197,82.85,113.7Nm@ 4000rpm,5
2363,Hyundai Verna 1.4 CX,2013,550000,50000,Diesel,Individual,Manual,First Owner,23.5,1396,88.7,219.9Nm@ 1750-2750rpm,5
2364,Maruti Wagon R PRIMEA,2006,120000,90000,Petrol,Individual,Manual,Second Owner,18.9,998,67.0,90Nm@ 3500rpm,5
2365,Mahindra Xylo D4 BSIV,2012,409999,100000,Diesel,Individual,Manual,Second Owner,14.0,2498,112.0,260 Nm at 1800-2200 rpm,8
2366,Hyundai Santro Xing (Non-AC),2010,110000,80000,Petrol,Individual,Manual,Second Owner,0.0,1086,62.1,96.1Nm@ 3000rpm,5
2367,Mahindra Bolero 2011-2019 SLX,2012,450000,120000,Diesel,Individual,Manual,First Owner,15.96,2523,62.1,195Nm@ 1400-2200rpm,7
2368,Maruti Swift VXI,2019,610000,5000,Petrol,Individual,Manual,First Owner,21.21,1197,81.8,113Nm@ 4200rpm,5
